,estimator,mode,n_estimators,learning_rate,min_samples_split,min_samples_leaf,max_depth,max_features,subsample,random_state,criterion,decile_0,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,resp_0,resp_1,resp_2,resp_3,resp_4,resp_5,resp_6,resp_7,resp_8,resp_9,lift_0,lift_1,lift_2,lift_3,lift_4,lift_5,lift_6,lift_7,lift_8,lift_9,max_ks_score,max_ks,c_stat
0,GradientBoostingClassifier,medium,70,0.1,50,25,3,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.018451296108973364,0.02383862358276338,0.02941386832080652,0.03592053187895871,0.04355681877360681,0.054810147101156906,0.07637851130787263,0.11931508980544979,0.23471336587306957,0.5066495819058462,0.16140314963606514,0.20852892428382758,0.2572985096504856,0.3142157032018498,0.38101430363845556,0.47945305966015384,0.6681228362927388,1.0437115734294655,2.053160725937935,4.43192921507719,0.11029560686525942,0.6866470831832601,0.9152818594826341
0,GradientBoostingClassifier,medium,70,0.1,50,25,4,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1360.0,1353.0,1356.0,1357.0,0.011972231171156401,0.016967763798407656,0.02274430811171394,0.028886773828765214,0.036338891902642036,0.04842097793848585,0.0688365801249312,0.11622495757987002,0.2551246834219103,0.5371252006223115,0.10477349545824943,0.14849127934917733,0.19904399009474785,0.25279901659794574,0.3180153031869271,0.42375017986158026,0.6024147890208396,1.017128293886221,2.2326920085031197,4.7005845412920895,0.09879375474854875,0.7074668229169385,0.9211194405439875
0,GradientBoostingClassifier,medium,70,0.1,50,25,5,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.009915202150715013,0.013653058578690298,0.017016786414803756,0.021245721764272023,0.028441603209476495,0.04133656775122974,0.06260020036903712,0.1094442725856025,0.25756435351429513,0.575556885165045,0.08721009312526501,0.12008676091454329,0.14967274548414145,0.18686874411753865,0.25016079620236614,0.3635796697098715,0.5506059504243477,0.9626273936864708,2.265431497441587,5.062364719463775,0.09787815155498074,0.711516193130904,0.9256760151482725
0,GradientBoostingClassifier,medium,70,0.1,50,25,6,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.007223378505891808,0.010295760498577245,0.013255264328774876,0.017216884348325072,0.023833417487541773,0.0351165843593888,0.05582109070438819,0.10689708441690415,0.26674150672980734,0.5970739350579078,0.06371845072119375,0.090820369918413,0.1169265747656073,0.15187258926365813,0.2102379705644507,0.3097683927507416,0.49240579243489524,0.9429544083979663,2.3529648263616507,5.26687423023245,0.09950867590691809,0.7136226573334099,0.9271873515578918
0,GradientBoostingClassifier,medium,70,0.1,50,25,7,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.004728216324039337,0.007704404318192967,0.010340697751378426,0.014038202022163037,0.020938555267066762,0.033603283417261695,0.05523911816498648,0.10687230874179406,0.2690943659713314,0.6067726961088427,0.04186111862074299,0.06821070800553268,0.09155105128986504,0.1242867922696237,0.18537885868827103,0.2975056420376959,0.48905784328291224,0.9461907169448045,2.382418739351616,5.372043507929181,0.10274107967953662,0.7262118530969047,0.9312728807469389
0,GradientBoostingClassifier,medium,70,0.1,50,25,8,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.004584291629886533,0.007526177426572318,0.010108460316647467,0.013741577980565606,0.01985924244306099,0.0303287444865871,0.05088730143010285,0.10289515946442075,0.26842633662547627,0.6125950876342847,0.04089012185086591,0.06713061403805055,0.09016358631673442,0.1225696014593232,0.17713682045632667,0.2705207604061218,0.4538951978040173,0.9177853304390633,2.3942598985285204,5.464113062813105,0.09933642259691529,0.7260661297086054,0.9304275763460056
0,GradientBoostingClassifier,medium,70,0.1,50,50,3,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1358.0,1355.0,1356.0,1357.0,0.017687074373588713,0.024167691596743344,0.029724028513241595,0.03611049637616308,0.04360412663891223,0.05534501333213912,0.07676509566998248,0.11933388996144553,0.2348842407434155,0.5071025931312224,0.1544958234656057,0.2111037323435007,0.25963809304300656,0.3154236113643435,0.3808801449739383,0.48343627831587194,0.6705397635834993,1.0423763256447887,2.051703601525851,4.429519040432233,0.10542362247215072,0.6893505782826043,0.9140257565001331
0,GradientBoostingClassifier,medium,70,0.1,50,50,4,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.01215017676741683,0.016737873934758746,0.021681993171414445,0.02743549728830595,0.03529500978681929,0.048101801845102224,0.07016943111597358,0.11557533450223603,0.25429954135645516,0.544871671239749,0.10597967644692453,0.14599577421557758,0.18912075643155118,0.23930558225066115,0.307860024508384,0.4195670148379104,0.6120514745166684,1.0081035683891661,2.2181227178383027,4.752632371402156,0.10020986113754139,0.7013479630915281,0.9200861094726293
0,GradientBoostingClassifier,medium,70,0.1,50,50,5,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.009382529516375058,0.013867267440415103,0.01797238318889184,0.022707141249975474,0.030464395842231397,0.043308336295580695,0.06434027378884247,0.11132161010501612,0.25639412561448544,0.5706050784231724,0.08226546555085379,0.12158738322250354,0.1575807960435542,0.19909487553415509,0.26711002638603143,0.3797249389272761,0.5641317267023601,0.9760613132286682,2.2480485748931356,5.00303168140732,0.14246573360395792,0.7053536162890038,0.9245732479698775
0,GradientBoostingClassifier,medium,70,0.1,50,50,6,sqrt,0.9,10,friedman_mse,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,1356.0,1356.0,1357.0,0.007436267227252437,0.010707073667748184,0.013772331973701635,0.01784508831873483,0.02458243951733479,0.036394356905882184,0.0574213300613608,0.11016615413590818,0.2708021815505245,0.5831243505806799,0.06566770630185723,0.09455133166668389,0.12161981589718565,0.1575852484632074,0.21708101243208733,0.3213889263664179,0.5070725570636412,0.9728481283848257,2.3913823401600016,5.149416692700225,0.10143567963946491,0.7075255472674472,0.9267455051947125
